source,translated,context
Financial Services,الخدمات المالية
Fine-grained control over what users see and do in ERPNext forms:,تحكم دقيق فيما يراه ويفعله المستخدمون في نماذج ERPNext:
For Auditors,للمدققين
For ERPNext System Managers,لمديري نظام ERPNext
For Information Security Managers,لمديري أمن المعلومات
For IT Managers,لمديري تقنية المعلومات
"For more help, visit","لمزيد من المساعدة، زُر"
Frappe native,أصلي في Frappe
Free,مجاني
"From capability definition through policy evaluation to runtime enforcement — the complete access governance lifecycle.","من تعريف الصلاحية عبر تقييم السياسة إلى التطبيق أثناء التشغيل — دورة حياة حوكمة الوصول الكاملة."
Full,كامل
Full About Page,صفحة التعريف الكاملة
"Full audit trail — every grant, revocation, and policy trigger logged","مسار تدقيق كامل — كل منح وسحب ومحفز سياسة مسجّل"
"Gate actions — approve, submit, amend, export restricted by capability","تقييد الإجراءات — الاعتماد والتقديم والتعديل والتصدير مقيدة بالصلاحية"
"Gate Approve, Submit, Amend, Cancel, Export buttons per capability","تقييد أزرار الاعتماد والتقديم والتعديل والإلغاء والتصدير حسب الصلاحية"
Gate discount approval actions by amount threshold,تقييد إجراءات اعتماد الخصم حسب حد المبلغ
Gate project approval actions by project value threshold,تقييد إجراءات اعتماد المشروع حسب حد قيمة المشروع
"Global CAPS configuration: enforcement mode, cache TTL, audit log retention, notification preferences, and integration settings. Changes here affect the entire CAPS system.","إعداد CAPS العام: وضع التطبيق، مدة الذاكرة المؤقتة، الاحتفاظ بسجل التدقيق، تفضيلات الإشعارات، وإعدادات التكامل. التغييرات هنا تؤثر على نظام CAPS بالكامل."
Go to CAPS Settings →,الذهاب إلى إعدادات CAPS →
Grant capabilities directly or through Permission Groups for team-based assignment.,منح الصلاحيات مباشرة أو عبر مجموعات الأذونات للتعيين على مستوى الفريق.
Grant CAPS Manager role to team leads for decentralized management,منح دور مدير CAPS لقادة الفرق للإدارة اللامركزية
Grant temporary elevated privileges that auto-expire,منح صلاحيات مرتفعة مؤقتة تنتهي تلقائياً
Granular control without creating dozens of custom roles,تحكم دقيق دون إنشاء عشرات الأدوار المخصصة
Graph Explorer,مستكشف الرسم البياني
"Group related capabilities into job function bundles (Accountant, Purchaser)","تجميع الصلاحيات المتعلقة في حزم وظائف (محاسب، مشتري)"
Group related capabilities into reusable bundles. Map Frappe roles to CAPS capabilities.,تجميع الصلاحيات المتعلقة في حزم قابلة لإعادة الاستخدام. ربط أدوار Frappe بصلاحيات CAPS.
Hard/soft dependency chains between capabilities,سلاسل تبعيات صلبة/مرنة بين الصلاحيات
Healthcare,الرعاية الصحية
"Hide cost data, PII, salary fields from unauthorized users","إخفاء بيانات التكلفة والمعلومات الشخصية وحقول الرواتب عن المستخدمين غير المصرح لهم"
HIPAA-aligned field masking for patient PII,إخفاء حقول متوافق مع HIPAA لبيانات المريض الشخصية
How Apps Integrate with CAPS,كيف تتكامل التطبيقات مع CAPS
How CAPS Adapts to Your Industry,كيف يتكيف CAPS مع قطاعك
How Frappe roles map to CAPS capabilities,كيف ترتبط أدوار Frappe بصلاحيات CAPS
How your work connects,كيف يرتبط عملك
"Identify gaps — which capabilities are assigned, which are unused, which users lack coverage.","تحديد الثغرات — أي الصلاحيات معيّنة، أيها غير مستخدمة، أي المستخدمين يفتقرون للتغطية."
Identify over-assigned capabilities and potential risk areas,تحديد الصلاحيات المفرطة التعيين ومناطق المخاطر المحتملة
Identify unused capabilities and over-privileged users,تحديد الصلاحيات غير المستخدمة والمستخدمين ذوي الصلاحيات المفرطة
Incident Response,الاستجابة للحوادث
Incident response: Trace exact capabilities a user had at incident time,الاستجابة للحوادث: تتبع الصلاحيات الدقيقة للمستخدم وقت الحادثة
Included,مضمّن
Industry Use Cases,حالات الاستخدام القطاعية
InfoSec: Audit & Compliance,أمن المعلومات: التدقيق والامتثال
🔐 InfoSec Manager,🔐 مدير أمن المعلومات
InfoSec Manager → receives capability framework you define,مدير أمن المعلومات ← يستلم إطار الصلاحيات الذي تعرّفه
InfoSec Manager — Security Policy & Compliance,مدير أمن المعلومات — سياسة الأمان والامتثال
InfoSec: Security Policies,أمن المعلومات: سياسات الأمان
"Integration Pack configuration for ERPNext, HRMS, and third-party apps","إعداد حزم التكامل لـ ERPNext وHRMS والتطبيقات الخارجية"
Interactive,تفاعلي
Interactive map of all CAPS modules and their relationships — click any node to explore.,خريطة تفاعلية لجميع وحدات CAPS وعلاقاتها — انقر على أي عقدة للاستكشاف.
🖥️ IT Manager,🖥️ مدير تقنية المعلومات
IT Manager — Infrastructure & System Governance,مدير تقنية المعلومات — البنية التحتية وحوكمة النظام
IT Manager: System Setup,مدير تقنية المعلومات: إعداد النظام
IT Manager: Visual Graph Explorer,مدير تقنية المعلومات: مستكشف الرسم البياني المرئي
Key compliance verification workflows:,سير عمل التحقق من الامتثال الرئيسية:
Least-Privilege,الحد الأدنى من الصلاحيات
Least-privilege compliance — no user has unnecessary access,امتثال الحد الأدنى — لا مستخدم لديه وصول غير ضروري
Least-privilege enforcement — every user gets minimum needed access,تطبيق الحد الأدنى من الصلاحيات — كل مستخدم يحصل على الحد الأدنى المطلوب
Limited,محدود
"Links a Capability Bundle to a Permission Group. All group members receive all capabilities in the bundle.","يربط حزمة صلاحيات بمجموعة أذونات. يحصل جميع أعضاء المجموعة على جميع صلاحيات الحزمة."
"Links a Capability Bundle to a Role Capability Map. All users with the mapped role receive all capabilities in the bundle.","يربط حزمة صلاحيات بخريطة صلاحيات الدور. يحصل جميع المستخدمين بالدور المربوط على جميع صلاحيات الحزمة."
"Links a Capability Bundle to a User Capability record. The user receives all capabilities in the bundle.","يربط حزمة صلاحيات بسجل صلاحيات المستخدم. يحصل المستخدم على جميع صلاحيات الحزمة."
Links a single Capability to a Permission Group. All group members receive this capability.,يربط صلاحية واحدة بمجموعة أذونات. يحصل جميع أعضاء المجموعة على هذه الصلاحية.
Login audit integration — correlate access events with session data,تكامل تدقيق تسجيل الدخول — ربط أحداث الوصول ببيانات الجلسة
Manage capability sets per environment (dev/staging/prod),إدارة مجموعات الصلاحيات لكل بيئة (تطوير/اختبار/إنتاج)
Manage Site Profiles for different environments (dev/staging/prod),إدارة ملفات الموقع للبيئات المختلفة (تطوير/اختبار/إنتاج)
Manufacturing,التصنيع
"Map existing Frappe roles (Accounts User, Sales Manager) to CAPS capabilities","ربط أدوار Frappe الحالية (مستخدم حسابات، مدير مبيعات) بصلاحيات CAPS"
Map Frappe roles to CAPS capabilities via Role Capability Map,ربط أدوار Frappe بصلاحيات CAPS عبر خريطة صلاحيات الدور
"Maps Frappe roles to CAPS capabilities. When a user has a specific Frappe role, they automatically receive the mapped capabilities. This bridges traditional role-based access with capability-based control.","يربط أدوار Frappe بصلاحيات CAPS. عندما يمتلك المستخدم دور Frappe محدد، يحصل تلقائياً على الصلاحيات المربوطة. يجسر هذا الوصول التقليدي القائم على الأدوار مع التحكم القائم على الصلاحيات."
Mask cost data from site engineers (Field Capability Map),إخفاء بيانات التكلفة عن مهندسي الموقع (خريطة صلاحيات الحقول)
"Mask cost fields, salary data, margin columns per capability","إخفاء حقول التكلفة وبيانات الرواتب وأعمدة الهامش حسب الصلاحية"
Mask pricing/margin data from sales floor staff,إخفاء بيانات التسعير/الهامش عن موظفي قاعة المبيعات
Monitor rate limits and system health via audit logs,مراقبة حدود المعدل وصحة النظام عبر سجلات التدقيق
Multi-campus site profiles with separate capability sets,ملفات مواقع متعددة الحرم مع مجموعات صلاحيات منفصلة
No more over-privileged users with System Manager role,لا مزيد من المستخدمين ذوي الصلاحيات المفرطة بدور مدير النظام
Onboarding/Offboarding,الإلحاق/المغادرة
Onboarding/Offboarding: Verify complete capability grant/revoke cycles,الإلحاق/المغادرة: التحقق من دورات منح/سحب الصلاحيات الكاملة
Open Audit Report →,فتح تقرير التدقيق →
Oracle only,Oracle فقط
Per-App CAPS Integration,تكامل CAPS لكل تطبيق
Per button/workflow,لكل زر/مسار عمل
Per capability,لكل صلاحية
Periodic attestation via snapshots and coverage reports,إثبات دوري عبر اللقطات وتقارير التغطية
Periodic compliance snapshots for regulatory audits,لقطات امتثال دورية للتدقيق التنظيمي
Periodic review: Compare current snapshot with previous for drift detection,مراجعة دورية: مقارنة اللقطة الحالية بالسابقة لاكتشاف الانحراف
"Permission Groups are collections of users who share the same set of capabilities. Add members to a group and assign capabilities to the group — all members inherit them. Supports temporary membership with expiry dates.","مجموعات الأذونات هي مجموعات من المستخدمين يتشاركون نفس مجموعة الصلاحيات. أضف أعضاء لمجموعة وعيّن صلاحيات للمجموعة — جميع الأعضاء يرثونها. تدعم العضوية المؤقتة بتواريخ انتهاء."
Permission Groups — team-based capability inheritance,مجموعات الأذونات — وراثة صلاحيات قائمة على الفريق
Permission group tree structure with inheritance,هيكل شجري لمجموعات الأذونات مع الوراثة
Point-in-time freeze of all user capabilities. Compare snapshots to detect drift over time.,تجميد لحظي لجميع صلاحيات المستخدم. مقارنة اللقطات لاكتشاف الانحراف مع الوقت.
Point-in-time freeze of all user capabilities for regulatory reviews,تجميد لحظي لجميع صلاحيات المستخدم للمراجعات التنظيمية
"Point-in-time snapshots of a user's complete capability set. Used for compliance audits, historical reviews, and before/after comparisons when capability changes are made.","لقطات لحظية لمجموعة صلاحيات المستخدم الكاملة. تُستخدم لتدقيق الامتثال والمراجعات التاريخية ومقارنات قبل/بعد عند إجراء تغييرات على الصلاحيات."
"Policies define conditional rules for capability evaluation. A policy can grant or revoke capabilities based on conditions like time of day, IP range, department, or custom expressions. Policies are evaluated daily and on-demand.","تُعرّف السياسات قواعد شرطية لتقييم الصلاحيات. يمكن للسياسة منح أو سحب صلاحيات بناءً على شروط مثل الوقت ونطاق IP والقسم أو تعبيرات مخصصة. تُقيَّم السياسات يومياً وعند الطلب."
Policy automation,أتمتة السياسات
Policy consistency — automated rules match written security policies,اتساق السياسات — القواعد الآلية تطابق سياسات الأمان المكتوبة
Policy engine — conditional rules auto-grant/revoke based on context,محرك السياسات — قواعد شرطية تمنح/تسحب تلقائياً بناءً على السياق
Policy Engine dashboard — active policies, condition evaluation logs,لوحة محرك السياسات — السياسات النشطة وسجلات تقييم الشروط
Prevent conflicting capabilities from being co-assigned,منع تعيين صلاحيات متعارضة معاً
Quality control gates — restrict QC approval to certified users,بوابات مراقبة الجودة — تقييد اعتماد الجودة للمستخدمين المعتمدين
Rate Limit Check,فحص حد المعدل
Rate limiting,تحديد المعدل
Rate limiting on high-value transaction approvals,تحديد المعدل على اعتمادات المعاملات عالية القيمة
Rate limiting per capability — prevent abuse of sensitive operations,تحديد المعدل لكل صلاحية — منع إساءة استخدام العمليات الحساسة
"Rate limiting prevents abuse by restricting how often a capability can be exercised. Set limits per minute/hour/day for sensitive capabilities like data exports or bulk operations.","يمنع تحديد المعدل إساءة الاستخدام بتقييد عدد مرات ممارسة الصلاحية. حدد قيوداً بالدقيقة/الساعة/اليوم للصلاحيات الحساسة كتصدير البيانات أو العمليات الجماعية."
Rate Limit monitoring to prevent system abuse,مراقبة حدود المعدل لمنع إساءة استخدام النظام
Real-time cache invalidation — permission changes take effect instantly,إبطال الذاكرة المؤقتة فورياً — تغييرات الأذونات تسري على الفور
Real-time stats on capability utilization and system health,إحصائيات فورية عن استخدام الصلاحيات وصحة النظام
Reconstruct exact capabilities a user had at any point in time,إعادة بناء الصلاحيات الدقيقة التي كان يمتلكها المستخدم في أي وقت
Regional groups for franchise/branch management,مجموعات إقليمية لإدارة الامتياز/الفروع
"Restrict approve, submit, delete, export actions per capability","تقييد إجراءات الاعتماد والتقديم والحذف والتصدير حسب الصلاحية"
Retail & E-Commerce,البيع بالتجزئة والتجارة الإلكترونية
Review and approve Capability Requests from users,مراجعة واعتماد طلبات الصلاحيات من المستخدمين
Role-based access to medical records vs. billing,وصول قائم على الدور للسجلات الطبية مقابل الفواتير
Role Capability Maps — how Frappe roles translate to CAPS capabilities,خرائط صلاحيات الأدوار — كيف تُترجم أدوار Frappe لصلاحيات CAPS
Roles only,أدوار فقط
SAP only,SAP فقط
Schedule periodic Capability Snapshots for compliance reviews,جدولة لقطات صلاحيات دورية لمراجعات الامتثال
"Search by user, capability, date range, action type — complete change history","البحث حسب المستخدم والصلاحية ونطاق التاريخ ونوع الإجراء — سجل تغييرات كامل"
Security & Compliance Reports,تقارير الأمان والامتثال
Security Enforcement,تطبيق الأمان
See how CAPS compares to built-in Frappe permissions and enterprise access governance solutions.,شاهد كيف يقارن CAPS مع أذونات Frappe المدمجة وحلول حوكمة الوصول المؤسسية.
Self-service capability requests reduce IT bottleneck,طلبات الصلاحيات الذاتية تقلل اختناقات تقنية المعلومات
Separation of Duties,الفصل بين الواجبات
Separation of duties — conflicting capabilities detected and blocked,الفصل بين الواجبات — الصلاحيات المتعارضة تُكتشف وتُحظر
Separation of duties — conflicting capabilities not co-assigned,الفصل بين الواجبات — الصلاحيات المتعارضة لا تُعيَّن معاً
Separation of duties — prevent same user from creating and approving,الفصل بين الواجبات — منع نفس المستخدم من الإنشاء والاعتماد
Set per-capability rate limits to prevent system abuse,تعيين حدود معدل لكل صلاحية لمنع إساءة استخدام النظام
"Set up action gates — restrict approvals, deletions, exports","إعداد بوابات الإجراءات — تقييد الاعتمادات والحذف والتصدير"
Set up Field Capability Maps (mask sensitive data) and Action Capability Maps (gate workflows).,إعداد خرائط صلاحيات الحقول (إخفاء البيانات الحساسة) وخرائط صلاحيات الإجراءات (تقييد مسارات العمل).
Set up Integration Packs to sync capabilities with external systems,إعداد حزم التكامل لمزامنة الصلاحيات مع الأنظمة الخارجية
Shift-based time-boxed access for production supervisors,وصول مؤقت قائم على المناوبة لمشرفي الإنتاج
Side-by-side diff of any two users' capabilities — great for role audits,مقارنة جنباً إلى جنب لصلاحيات أي مستخدمين — ممتازة لتدقيق الأدوار
Site Profile management for multi-tenant deployments,إدارة ملفات الموقع للنشر متعدد المستأجرين
"Stores site-wide CAPS configuration including default policies, enforcement mode (strict/permissive), and capability inheritance rules. Each Frappe site can have its own profile.","يخزن إعدادات CAPS على مستوى الموقع بما في ذلك السياسات الافتراضية ووضع التطبيق (صارم/متساهل) وقواعد وراثة الصلاحيات. يمكن لكل موقع Frappe أن يكون له ملفه الخاص."
Student data privacy — restrict grade/record access by department,خصوصية بيانات الطلاب — تقييد الوصول للدرجات/السجلات حسب القسم
"Sync CAPS with ERPNext, HRMS, and third-party apps","مزامنة CAPS مع ERPNext وHRMS والتطبيقات الخارجية"
Temporal Access,الوصول المؤقت
Temporal access — time-boxed capabilities expired as scheduled,الوصول المؤقت — الصلاحيات المؤقتة انتهت كما هو مجدول
The CAPS data model — 14 interconnected DocTypes forming a complete access governance framework.,نموذج بيانات CAPS — 14 نوع مستند مترابط يشكّل إطار حوكمة وصول متكامل.
The Graph Explorer gives you a complete topology of your CAPS configuration:,يمنحك مستكشف الرسم البياني طوبولوجيا كاملة لإعدادات CAPS الخاصة بك:
Third-Party Apps,تطبيقات خارجية
Time-boxed access,وصول مؤقت محدد المدة
Time-boxed access for visiting consultants,وصول مؤقت للاستشاريين الزائرين
Time-boxed capabilities — automatic expiry with no manual cleanup,صلاحيات مؤقتة — انتهاء تلقائي بدون تنظيف يدوي
Trace complete capability grant/revoke cycles per user,تتبع دورات منح/سحب الصلاحيات الكاملة لكل مستخدم
Transaction level,مستوى المعاملة
User Access Matrix — comprehensive user × capability cross-reference,مصفوفة وصول المستخدم — مرجع تقاطعي شامل للمستخدمين × الصلاحيات
User Access Matrix — cross-reference users × capabilities,مصفوفة وصول المستخدم — مرجع تقاطعي للمستخدمين × الصلاحيات
User Capability assignments — per-user permission profiles,تعيينات صلاحيات المستخدم — ملفات أذونات لكل مستخدم
"Users can request additional capabilities through this DocType. Requests go through an approval workflow — managers review and approve/reject. Approved requests create User Capability records automatically.","يمكن للمستخدمين طلب صلاحيات إضافية عبر نوع المستند هذا. تمر الطلبات بسير عمل اعتماد — يراجع المديرون ويوافقون/يرفضون. الطلبات المعتمدة تنشئ سجلات صلاحيات المستخدم تلقائياً."
Users can self-service request additional capabilities with approval workflow,يمكن للمستخدمين طلب صلاحيات إضافية ذاتياً مع سير عمل اعتماد
Users × capabilities cross-reference for external auditors,مرجع تقاطعي للمستخدمين × الصلاحيات للمدققين الخارجيين
Verify time-boxed capabilities expired on schedule,التحقق من انتهاء الصلاحيات المؤقتة في الموعد المحدد
Via GRC rules,عبر قواعد GRC
View Audit Log →,عرض سجل التدقيق →
View Snapshots →,عرض اللقطات →
Visual graph explorer,مستكشف الرسم البياني المرئي
Visual graph explorer makes complex permissions understandable,مستكشف الرسم البياني يجعل الأذونات المعقدة مفهومة
What you verify,ما تتحقق منه
Why CAPS? — Competitive Comparison,لماذا CAPS؟ — مقارنة تنافسية
Workflow: Access Governance Lifecycle,مسار العمل: دورة حياة حوكمة الوصول
"You're ready to use CAPS. Remember, you can always access help by clicking the ❓ icon on any CAPS page.","أنت جاهز لاستخدام CAPS. تذكّر، يمكنك دائماً الوصول للمساعدة بالنقر على أيقونة ❓ في أي صفحة CAPS."
